sequence,length,count,up_count,down_count,up_probability
11,1,609126,265363,342830,0.435645
5,1,378896,168495,209859,0.4447
17,1,118206,50055,67960,0.423456
4,1,67271,28412,38793,0.422351
12,1,67163,28653,38442,0.426619
7,1,48077,18653,29345,0.387982
8,1,45822,19864,25916,0.433504
18,1,29510,17292,12131,0.585971
20,1,5354,1427,3927,0.26653
19,1,912,215,695,0.235746
"10,10",2,329241,147363,181330,0.447584
"11,11",2,220820,96102,124372,0.435205
"11,24",2,130734,57620,72918,0.440742
"5,11",2,96652,42238,54273,0.437011
"11,5",2,86527,38044,48380,0.439678
"24,11",2,63839,28130,35629,0.44064
"25,11",2,35121,15231,19829,0.433672
"11,25",2,30940,12828,18059,0.414609
"11,17",2,26125,11445,14631,0.438086
"10,2",2,26059,11711,14314,0.449403
"17,24",2,25910,10995,14872,0.424354
"5,24",2,22164,9603,12545,0.43327
"17,17",2,21064,8781,12246,0.416872
"11,12",2,20446,8704,11714,0.425707
"24,17",2,19668,8225,11412,0.418192
"5,25",2,19260,7888,11357,0.409553
"17,7",2,17004,6340,10641,0.372853
"25,17",2,16981,7612,9345,0.448266
"11,4",2,16681,6588,10064,0.39494
"12,24",2,16645,7458,9174,0.448062
"11,23",2,16587,7323,9249,0.44149
"8,11",2,15156,6659,8477,0.439364
"16,16",2,14843,9295,5514,0.626221
"4,25",2,14543,6201,8328,0.426391
"11,7",2,14499,6102,8379,0.420857
"24,12",2,14392,6387,7994,0.443788
"8,5",2,14138,6175,7950,0.436766
"25,12",2,13499,5713,7779,0.423217
"5,17",2,12709,5269,7400,0.414588
"12,11",2,12527,5303,7211,0.423326
"7,11",2,12125,4973,7141,0.410144
"17,12",2,11875,4739,7114,0.399074
"24,16",2,11705,7158,4510,0.611534
"11,1",2,11635,5165,6452,0.443919
"24,4",2,11086,4823,6256,0.435053
"4,24",2,11052,4882,6160,0.44173
"5,4",2,10382,4284,6077,0.412637
"13,13",2,10197,5731,4458,0.562028
"4,11",2,10196,4252,5922,0.417026
"16,18",2,10037,6597,3424,0.657268
"25,5",2,9578,4199,5366,0.438401
"12,25",2,9458,3815,5630,0.403362
"16,15",2,9127,5173,3945,0.56678
"24,15",2,8862,4885,3968,0.55123
"10,5",2,8830,3809,5010,0.43137
"11,2",2,8479,3413,5028,0.402524
"7,17",2,8366,3107,5245,0.371384
"2,11",2,8303,3501,4779,0.421655
"11,8",2,8040,3441,4589,0.427985
"7,24",2,7657,2911,4727,0.380175
"25,4",2,7313,3127,4180,0.427595
"4,17",2,7030,3025,4001,0.430299
"4,5",2,6943,2850,4081,0.410485
"10,11",2,6756,2829,3912,0.418739
"5,20",2,6240,2012,4226,0.322436
"25,7",2,5714,2288,3404,0.40042
"12,17",2,5452,2224,3226,0.407924
"24,7",2,5341,2198,3137,0.411533
"4,4",2,5046,2044,3002,0.405073
"1,1",2,4965,2768,2194,0.557503
"8,8",2,4849,2023,2821,0.417199
"4,12",2,4523,1853,2667,0.409684
"25,20",2,4472,1924,2543,0.430233
"12,4",2,4397,1773,2620,0.403229
"7,7",2,4360,1466,2881,0.336239
"10,21",2,4272,1784,2488,0.417603
"6,21",2,4043,1766,2276,0.436804
